channel,emd,js,median_A,median_B
ch0,0.125203,0.00350603,-0.00990496575832367,0.1352202221751213
ch1,0.0862609,0.00312225,-0.09657629579305649,-0.0694648027420044
ch2,0.231474,0.0124123,-0.14140506088733673,0.09314743429422379
