layer_idx,layer_name,step,act_min,act_max,act_range,act_mean,act_std,act_absmax,delta_int8,delta_over_std,err_rmse,err_mae,err_rel_l2
0,model.input_blocks.1.0.in_layers.2,99,-0.27846458554267883,8.116605758666992,6.9767051339149475,0.15050491504371166,0.5367958173155785,8.116605758666992,0.05561006350780097,0.10359630554853635,0.015429411898367107,0.012987455702386796,0.027676308527588844
0,model.input_blocks.1.0.in_layers.2,98,-0.27846458554267883,8.122846603393555,6.977359414100647,0.15050597116351128,0.5367958322167397,8.122846603393555,0.05560950406893032,0.10359526049091439,0.015429027494974434,0.012986920890398324,0.02767560351639986
0,model.input_blocks.1.0.in_layers.2,97,-0.27846458554267883,8.122746467590332,6.976715862751007,0.15050637163221836,0.5367945954203606,8.122746467590332,0.055652956324299487,0.10367644681801984,0.015453325118869543,0.013020072015933692,0.02771924063563347
0,model.input_blocks.1.0.in_layers.2,96,-0.27846458554267883,8.122369766235352,6.976861834526062,0.15050643868744373,0.5367924347519875,8.122369766235352,0.05577718179056963,0.10390828592124289,0.015524650225415826,0.013135394314303994,0.027847282588481903
0,model.input_blocks.1.0.in_layers.2,95,-0.27846458554267883,8.122247695922852,6.9762378334999084,0.15050691924989223,0.5367911159992218,8.122247695922852,0.05566087857944759,0.10369187738108594,0.01545750058721751,0.013026280095800757,0.027726890053600073
0,model.input_blocks.1.0.in_layers.2,94,-0.27846458554267883,8.12109088897705,6.977041780948639,0.1505073495209217,0.5367892012000084,8.12109088897705,0.05567546904556395,0.10371942826178276,0.015465631033293903,0.01303846132941544,0.02774155861698091
0,model.input_blocks.1.0.in_layers.2,93,-0.27846458554267883,8.119974136352539,6.977347016334534,0.15050763078033924,0.5367869734764099,8.119974136352539,0.055653617137999045,0.10367914999421059,0.01545294455718249,0.013020084705203772,0.02771890489384532
0,model.input_blocks.1.0.in_layers.2,92,-0.27846458554267883,8.118980407714844,6.976911962032318,0.15050851367413998,0.5367852002382278,8.118980407714844,0.05562811198197012,0.10363197785125614,0.015438391827046871,0.01299999572802335,0.0276928732637316
0,model.input_blocks.1.0.in_layers.2,91,-0.27846458554267883,8.117589950561523,6.975637197494507,0.15050935186445713,0.5367822125554085,8.117589950561523,0.055626651433509165,0.10362983372472909,0.015437541413120925,0.012998907128348947,0.027691480005159974
0,model.input_blocks.1.0.in_layers.2,90,-0.27846458554267883,8.122821807861328,6.9772093296051025,0.15051046386361122,0.53677898645401,8.122821807861328,0.055623583906278834,0.10362474185834124,0.015435803448781371,0.012996578007005155,0.027688501868396997
0,model.input_blocks.1.0.in_layers.2,89,-0.27846458554267883,8.121269226074219,6.977158010005951,0.15051192417740822,0.5367768928408623,8.121269226074219,0.055666472968154065,0.10370504712589677,0.015459873713552952,0.013030351954512298,0.02773175947368145
0,model.input_blocks.1.0.in_layers.2,88,-0.27846455574035645,8.125794410705566,6.977307558059692,0.15051406249403954,0.5367747619748116,8.125794410705566,0.05561117112167238,0.10360243264246832,0.015428828890435398,0.01298732461873442,0.02767614438198507
0,model.input_blocks.1.0.in_layers.2,87,-0.27846458554267883,8.123676300048828,6.976733922958374,0.15051590651273727,0.5367719307541847,8.123676300048828,0.05554097843921091,0.10347221092797038,0.015390031738206744,0.012938619358465075,0.02760666119866073
0,model.input_blocks.1.0.in_layers.2,86,-0.27846458554267883,8.122320175170898,6.976815223693848,0.15051807649433613,0.536769337952137,8.122320175170898,0.05557391024011327,0.1035340626052465,0.01540814118925482,0.012960693682543933,0.027639240026474
0,model.input_blocks.1.0.in_layers.2,85,-0.27846458554267883,8.127235412597656,6.976395487785339,0.15052135474979877,0.5367674753069878,8.127235412597656,0.055560795340951034,0.10350998876967114,0.015400958014652133,0.012951788026839495,0.027626399183645844
0,model.input_blocks.1.0.in_layers.2,84,-0.27846458554267883,8.125666618347168,6.976256847381592,0.1505242921411991,0.5367650091648102,8.125666618347168,0.05556010449026513,0.10350917727799534,0.015400445205159485,0.01295123202726245,0.027625559363514185
0,model.input_blocks.1.0.in_layers.2,83,-0.27846458554267883,8.12452220916748,6.976001799106598,0.15052706375718117,0.5367612019181252,8.12452220916748,0.0554809044665239,0.1033623597761201,0.015357367927208543,0.012900971341878176,0.027548428857699037
0,model.input_blocks.1.0.in_layers.2,82,-0.27846455574035645,8.122774124145508,6.9762139320373535,0.15053050592541695,0.5367579534649849,8.122774124145508,0.05552596370066245,0.10344693235045777,0.015381963923573494,0.012929114513099194,0.027592658530920744
0,model.input_blocks.1.0.in_layers.2,81,-0.27846458554267883,8.128150939941406,6.976442456245422,0.1505342237651348,0.5367545485496521,8.128150939941406,0.05558851947934609,0.10356413304656684,0.015416500973515213,0.012971355812624097,0.027654726523905993
