layer_idx,layer_name,numel,w_min,w_max,w_range,w_mean,w_std,w_kurtosis,delta_int8,delta_over_std,precision_ratio,fp32_precision,int8_over_fp32,pch_delta_int8_mean,pch_delta_over_std_mean,pch_delta_over_std_max
0,model.input_blocks.1.0.in_layers.2,147456,-1.4544711112976074,0.9792870283126831,2.4337581396102905,-0.0020720099564641714,0.08413340151309967,5.164214147385479,0.009581724959095633,0.11388728836180312,0.3473341168161811,2.901265787613738e-07,33026.015748031496,0.003555713687092066,0.04267246276140213,0.12058335542678833
1,model.input_blocks.1.0.emb_layers.1,131072,-0.5285112857818604,0.4712238013744354,0.9997350871562958,-0.0009991537081077695,0.04089309647679329,7.313287971579941,0.003935964910064157,0.09625010696369142,0.3473341168161811,1.1917770947889039e-07,33026.015748031496,0.0013077016919851303,0.033417947590351105,0.06690222769975662
2,model.input_blocks.1.0.cond_emb_layers.1,65536,-0.6674308776855469,0.9200674295425415,1.5874983072280884,-0.006932963151484728,0.07798265665769577,5.017096738494391,0.006249993335543655,0.08014594017869643,0.3473341168161811,1.8924454536772828e-07,33026.015748031496,0.0024384097196161747,0.034661561250686646,0.0771360918879509
3,model.input_blocks.1.0.out_layers.3,147456,-1.3698066473007202,1.9532949924468994,3.3231016397476196,-0.0010409136302769184,0.08852477371692657,10.57544254903911,0.013083077321841023,0.1477900114551962,0.3473341168161811,3.9614458557934995e-07,33026.015748031496,0.003849725006148219,0.0482676699757576,0.1636936515569687
4,model.input_blocks.2.0.in_layers.2,147456,-1.2039371728897095,0.8123583793640137,2.016295552253723,-0.0023912566248327494,0.08667978644371033,5.911897455337559,0.007938171465565838,0.09158042250864669,0.34733411681618115,2.4036116030856647e-07,33026.015748031496,0.004437180235981941,0.05157581344246864,0.10163719952106476
5,model.input_blocks.2.0.emb_layers.1,131072,-0.46634724736213684,0.48377150297164917,0.950118750333786,-0.0009155194275081158,0.04440489411354065,3.738681206395081,0.003740625001314118,0.08423902535755012,0.3473341168161811,1.1326298121616674e-07,33026.015748031496,0.0014190026558935642,0.03260527551174164,0.06511308252811432
6,model.input_blocks.2.0.cond_emb_layers.1,65536,-0.4996947646141052,0.5688971877098083,1.0685919523239136,-0.0013610447058454156,0.07532918453216553,2.70058329007541,0.004207054930409108,0.05584893765253557,0.34733411681618115,1.2738608745621605e-07,33026.015748031496,0.0026970894541591406,0.038357749581336975,0.07103937864303589
7,model.input_blocks.2.0.out_layers.3,147456,-0.7392566204071045,0.7544751167297363,1.4937317371368408,-0.0010359794832766056,0.07928690314292908,4.19166519734996,0.005880833610774964,0.07417156399840108,0.3473341168161811,1.7806669916353712e-07,33026.015748031496,0.003250128123909235,0.04198138415813446,0.07939000427722931
8,model.input_blocks.3.0.in_layers.2,147456,-1.2825742959976196,1.4098012447357178,2.6923755407333374,-0.00217684474773705,0.08621221035718918,7.16859907561121,0.010599903703674557,0.12295130422517564,0.3473341168161811,3.2095617541472166e-07,33026.015748031496,0.00432657590135932,0.050279922783374786,0.11664178222417831
9,model.input_blocks.3.0.emb_layers.1,131072,-0.6660353541374207,0.5081377625465393,1.17417311668396,-0.0008026838186196983,0.04562945291399956,3.823483418536769,0.004622728805842362,0.10131019572936309,0.3473341168161811,1.3997234304952144e-07,33026.015748031496,0.0013436070876196027,0.03039250709116459,0.05924952030181885
10,model.input_blocks.3.0.cond_emb_layers.1,65536,-0.5399361848831177,0.6412356495857239,1.1811718344688416,-0.0078039271757006645,0.08098232001066208,2.1243937516370073,0.004650282812869455,0.057423432820889526,0.3473341168161811,1.408066552244236e-07,33026.015748031496,0.002260941080749035,0.029793502762913704,0.05013975501060486
11,model.input_blocks.3.0.out_layers.3,147456,-1.0750986337661743,0.9145923852920532,1.9896910190582275,-2.8366946935420856e-05,0.07752631604671478,5.302692315084421,0.00783342920889066,0.10104219584056402,0.3473341168161811,2.3718965280750126e-07,33026.015748031496,0.003625776618719101,0.04784516245126724,0.10119865089654922
12,model.input_blocks.4.0.in_layers.2,147456,-1.57188880443573,0.7015398740768433,2.2734286785125732,-0.0034101521596312523,0.0880337506532669,5.366226747789099,0.008950506608317218,0.1016713083538648,0.3473341168161811,2.710138176098553e-07,33026.015748031496,0.004477765876799822,0.05096644535660744,0.12663380801677704
13,model.input_blocks.4.0.emb_layers.1,131072,-0.4169149696826935,0.3923777937889099,0.8092927634716034,-0.0015060019213706255,0.04686746001243591,2.162864577214454,0.003186191982171667,0.067983030897306,0.3473341168161811,9.647521537203829e-08,33026.015748031496,0.0013464954681694508,0.029768696054816246,0.06313060969114304
14,model.input_blocks.4.0.cond_emb_layers.1,65536,-0.569983184337616,0.5975882411003113,1.1675714254379272,-0.00395929254591465,0.08132144063711166,1.5041524730534093,0.0045967378954249105,0.05652553446367043,0.3473341168161811,1.3918536012624827e-07,33026.015748031496,0.002266688272356987,0.028591085225343704,0.04038321226835251
15,model.input_blocks.4.0.out_layers.3,147456,-0.6903032064437866,0.7001065611839294,1.390409767627716,-0.000786379911005497,0.07069858908653259,3.8187894889464724,0.005474054203258725,0.07742805441960442,0.3473341168161811,1.6574976058336688e-07,33026.015748031496,0.0029480108059942722,0.04257075488567352,0.07353844493627548
16,model.input_blocks.5.0.in_layers.2,147456,-1.3506228923797607,0.7981947660446167,2.1488176584243774,-0.0017049390589818358,0.0853235125541687,6.934112154300701,0.008459912041040856,0.0991510052468928,0.3473341168161811,2.5615902643494337e-07,33026.015748031496,0.004776567220687866,0.05613439157605171,0.11406605690717697
17,model.input_blocks.5.0.emb_layers.1,131072,-0.36832988262176514,0.35176780819892883,0.720097690820694,-0.00046780912089161575,0.04812898859381676,1.4441202592052287,0.00283503027882163,0.05890483805277695,0.3473341168161811,8.584233412989306e-08,33026.015748031496,0.0013005244545638561,0.028629276901483536,0.06359843164682388
