model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,num_params,cim_weight_bits,cim_cell_count_w8,cim_arrays_256x256,cim_arrays_32x32,is_quantized,seq_len
qdiffae,24,decoder_layer_8,decoder_layer_8[1].in_layers.conv,conv2d,"(256, 256, 3, 3)",589824,4194304,4784128,2304,256,2304,589824,589824,8,4718592,72,4608,True,1
qdiffae,24,decoder_layer_8,decoder_layer_8[1].emb_layers.linear,linear,"(512, 512)",262144,2048,264192,512,512,512,262144,262144,8,2097152,32,2048,True,1
qdiffae,24,decoder_layer_8,decoder_layer_8[1].cond_emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,24,decoder_layer_8,decoder_layer_8[1].out_layers.conv,conv2d,"(256, 256, 3, 3)",589824,4194304,4784128,2304,256,2304,589824,589824,8,4718592,72,4608,True,1
qdiffae,25,decoder_layer_9,decoder_layer_9[0].in_layers.conv,conv2d,"(128, 384, 3, 3)",442368,6291456,6733824,3456,128,3456,442368,442368,8,3538944,54,3456,True,1
qdiffae,25,decoder_layer_9,decoder_layer_9[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,25,decoder_layer_9,decoder_layer_9[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,25,decoder_layer_9,decoder_layer_9[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,25,decoder_layer_9,decoder_layer_9[0].skip_connection,conv2d,"(128, 384, 1, 1)",49152,6291456,6340608,384,128,384,49152,49152,8,393216,6,384,False,1
qdiffae,26,decoder_layer_10,decoder_layer_10[0].in_layers.conv,conv2d,"(128, 256, 3, 3)",294912,4194304,4489216,2304,128,2304,294912,294912,8,2359296,36,2304,True,1
